"Note: A 2% flat Payment Fee applies to all categories and is included in the final commission fee listed under the column ""Total Fee with Payment and VAT"".",,,,,,,,,,,,,,
Category,Sub-category 1,Sub-category 2,Sub-category 3,Sub-category 4,Commission,Total Fee with Payment and VAT,,,,,,,,
Cameras,Camera Accessories,Gimbals & Stabilizers,,,14.00%,18.08%,,,,,,,,
Cameras,Camera Accessories,Gimbals & Stabilizers Accessories,,,14.00%,18.08%,,,,,,,,
Cameras,Camera Accessories,Lighting & Studio Equipment,Photography & Studio Lighting,,14.00%,18.08%,,,,,,,,
Cameras,Camera Accessories,Lighting & Studio Equipment,Studio Equipment,,14.00%,18.08%,,,,,,,,
Cameras,Camera Accessories,Lighting & Studio Equipment,Light Meters & Color Calibrators,,14.00%,18.08%,,,,,,,,
Cameras,Camera Accessories,Memory Cards,Micro SD Cards,,14.00%,18.08%,,,,,,,,
Cameras,Camera Accessories,Memory Cards,SD & SDHC Cards,,14.00%,18.08%,,,,,,,,
Cameras,Camera Accessories,Memory Cards,Card Readers,,14.00%,18.08%,,,,,,,,
Cameras,Camera Accessories,Memory Cards,Compact Flash Cards,,14.00%,18.08%,,,,,,,,
Cameras,Camera Accessories,Memory Cards,Wifi SD Cards,,14.00%,18.08%,,,,,,,,
Cameras,Camera Accessories,Sports & Action Camera Accessories,Mounts,,14.00%,18.08%,,,,,,,,
Cameras,Camera Accessories,Sports & Action Camera Accessories,Other Action Camera Accessories,,14.00%,18.08%,,,,,,,,
Cameras,Camera Accessories,Sports & Action Camera Accessories,Straps & Harnesses,,14.00%,18.08%,,,,,,,,
Cameras,Camera Accessories,Sports & Action Camera Accessories,Waterproof Cases & Housing,,14.00%,18.08%,,,,,,,,
Cameras,Camera Accessories,Sports & Action Camera Accessories,Accessory Kits,,4.00%,6.78%,,,,,,,,
Cameras,Camera Accessories,Sports & Action Camera Accessories,Action Camera Bags & Cases,,14.00%,18.08%,,,,,,,,
Cameras,Camera Accessories,Sports & Action Camera Accessories,Protective Lens,,14.00%,18.08%,,,,,,,,
Cameras,Camera Accessories,Straps,,,14.00%,18.08%,,,,,,,,
Cameras,Camera Accessories,Tripods & Monopods,Tripods,,14.00%,18.08%,,,,,,,,
Cameras,Camera Accessories,Tripods & Monopods,Monopods,,14.00%,18.08%,,,,,,,,
Cameras,Camera Accessories,Viewfinders,,,14.00%,18.08%,,,,,,,,
Cameras,Car Cameras,,,,4.00%,6.78%,,,,,,,,
Cameras,Drones,Drone Accessories,Remote Controllers & Accessories,,5.00%,7.91%,,,,,,,,
Cameras,Drones,Drone Accessories,Propellers & Parts,,5.00%,7.91%,,,,,,,,
Cameras,Drones,Drone Accessories,Drone Batteries,,5.00%,7.91%,,,,,,,,
Cameras,Drones,Drone Accessories,Drone Bags and Cases,,5.00%,7.91%,,,,,,,,
Cameras,Drones,Drones,,,5.00%,7.91%,,,,,,,,
Cameras,DSLR,Body Only,,,1.80%,4.27%,,,,,,,,
Cameras,DSLR,Sets,,,1.80%,4.27%,,,,,,,,
Cameras,Gadgets & Other Cameras,Lomography,,,5.00%,7.91%,,,,,,,,
Cameras,Gadgets & Other Cameras,Mini Cameras,,,5.00%,7.91%,,,,,,,,
Cameras,Gadgets & Other Cameras,Spy Cameras,,,5.00%,7.91%,,,,,,,,
Cameras,Gadgets & Other Cameras,Toy Cameras,,,5.00%,7.91%,,,,,,,,
Cameras,Instant Camera,Instant Camera Accessories,,,14.00%,18.08%,,,,,,,,
Cameras,Instant Camera,Instant Camera Films,,,14.00%,18.08%,,,,,,,,
Cameras,Instant Camera,Instant Cameras,,,3.40%,6.10%,,,,,,,,
Cameras,Lenses,DSLRs Lenses,,,3.40%,6.10%,,,,,,,,
Cameras,Lenses,Lens Accessories,Lens Cleaners,,3.40%,6.10%,,,,,,,,
Cameras,Lenses,Lens Accessories,Lens Caps,,3.40%,6.10%,,,,,,,,
Cameras,Lenses,Lens Accessories,Lens Cases,,3.40%,6.10%,,,,,,,,
Cameras,Lenses,Lens Accessories,Filters,,3.40%,6.10%,,,,,,,,
Cameras,Lenses,Lens Accessories,Lens Hoods,,3.40%,6.10%,,,,,,,,
Cameras,Lenses,Lens Accessories,Lens Adapters & Converters,,3.40%,6.10%,,,,,,,,
Cameras,Lenses,Lens Accessories,Other Lens Accessories,,3.40%,6.10%,,,,,,,,
Cameras,Lenses,Lens Accessories,Extension Tubes,,3.40%,6.10%,,,,,,,,
Cameras,Lenses,Lens Accessories,Follow - Focus Levers,,3.40%,6.10%,,,,,,,,
Cameras,Lenses,Lens Accessories,Matte Boxes,,3.40%,6.10%,,,,,,,,
Cameras,Lenses,Mirrorless Lenses,,,3.40%,6.10%,,,,,,,,
Cameras,Lenses,Other Lenses,,,3.40%,6.10%,,,,,,,,
Cameras,Lenses,Smartphone Lenses,,,3.40%,6.10%,,,,,,,,
Cameras,Mirrorless,,,,3.40%,6.10%,,,,,,,,
Cameras,Optics,Binoculars,,,8.00%,11.30%,,,,,,,,
Cameras,Optics,Monoculars,,,8.00%,11.30%,,,,,,,,
Cameras,Optics,Optics Accessories,,,8.00%,11.30%,,,,,,,,
Cameras,Optics,Telescopes,,,8.00%,11.30%,,,,,,,,
Cameras,Point & Shoot,Point & Shoot,,,3.40%,6.10%,,,,,,,,
Cameras,Point & Shoot,Underwater Digital Cameras,,,3.40%,6.10%,,,,,,,,
Cameras,Security Cameras & Systems,CCTV Security Cameras,,,3.40%,6.10%,,,,,,,,
Cameras,Security Cameras & Systems,CCTV Security Systems,,,3.40%,6.10%,,,,,,,,
Cameras,Security Cameras & Systems,Dummy Cameras,,,3.40%,6.10%,,,,,,,,
Cameras,Security Cameras & Systems,IP Security Cameras,,,3.40%,6.10%,,,,,,,,
Cameras,Security Cameras & Systems,IP Security Systems,,,3.40%,6.10%,,,,,,,,
Cameras,Video & Action Camcorder,360 Cameras,,,3.40%,6.10%,,,,,,,,
Cameras,Video & Action Camcorder,Professional Video Camera,,,3.40%,6.10%,,,,,,,,
Cameras,Video & Action Camcorder,Sports & Action Camera,,,3.40%,6.10%,,,,,,,,
Cameras,Video & Action Camcorder,Video Camera,,,3.40%,6.10%,,,,,,,,
Computers & Laptops,Computer Accessories,Adapters & Cables,Ethernet Cables,,14.00%,18.08%,,,,,,,,
Computers & Laptops,Computer Accessories,Adapters & Cables,Type C-Video Adapters,,14.00%,18.08%,,,,,,,,
Computers & Laptops,Computer Accessories,Adapters & Cables,VGA Cables,,14.00%,18.08%,,,,,,,,
Computers & Laptops,Computer Accessories,Adapters & Cables,USB-Video Adapters,,14.00%,18.08%,,,,,,,,
Computers & Laptops,Computer Accessories,Adapters & Cables,Mini Display-Video Adapters,,14.00%,18.08%,,,,,,,,
Computers & Laptops,Computer Accessories,Adapters & Cables,SATA Cables,,14.00%,18.08%,,,,,,,,
Computers & Laptops,Computer Accessories,Adapters & Cables,Type C-Ethernet Adapters,,14.00%,18.08%,,,,,,,,
Computers & Laptops,Computer Accessories,Adapters & Cables,USB-Ethernet Adapters,,14.00%,18.08%,,,,,,,,
Computers & Laptops,Computer Accessories,Adapters & Cables,Serial Cables,,14.00%,18.08%,,,,,,,,
Computers & Laptops,Computer Accessories,Adapters & Cables,Cable Tester,,14.00%,18.08%,,,,,,,,
Computers & Laptops,Computer Accessories,Adapters & Cables,ThunderBolt Cables,,14.00%,18.08%,,,,,,,,
Computers & Laptops,Computer Accessories,Adapters & Cables,DVI Cables,,14.00%,18.08%,,,,,,,,
Computers & Laptops,Computer Accessories,Adapters & Cables,Parallel Cables,,14.00%,18.08%,,,,,,,,
Computers & Laptops,Computer Accessories,Adapters & Cables,PS/2 Cables,,14.00%,18.08%,,,,,,,,
Computers & Laptops,Computer Accessories,Adapters & Cables,eSATA Cables,,14.00%,18.08%,,,,,,,,
Computers & Laptops,Computer Accessories,Adapters & Cables,SCSI Cables,,14.00%,18.08%,,,,,,,,
Computers & Laptops,Computer Accessories,Adapters & Cables,Mini Display-Ethernet Adapters,,14.00%,18.08%,,,,,,,,
Computers & Laptops,Computer Accessories,Adapters & Cables,Firewire Cables,,14.00%,18.08%,,,,,,,,
Computers & Laptops,Computer Accessories,Adapters & Cables,IDE Ribbon Cables,,14.00%,18.08%,,,,,,,,
Computers & Laptops,Computer Accessories,Adapters & Cables,Mini-SAS Cables,,14.00%,18.08%,,,,,,,,
Computers & Laptops,Computer Accessories,Blank Media,,,14.00%,18.08%,,,,,,,,
Computers & Laptops,Computer Accessories,Bluetooth Adapters,,,14.00%,18.08%,,,,,,,,
Computers & Laptops,Computer Accessories,Card Reader,,,14.00%,18.08%,,,,,,,,
Computers & Laptops,Computer Accessories,Cooling Pads/Cooling Stands,,,14.00%,18.08%,,,,,,,,
Computers & Laptops,Computer Accessories,Drawing Tools,Drawing Pad,,14.00%,18.08%,,,,,,,,
Computers & Laptops,Computer Accessories,Drawing Tools,Display Screen Protectors,,14.00%,18.08%,,,,,,,,
Computers & Laptops,Computer Accessories,Drawing Tools,Drawing Stylus,,14.00%,18.08%,,,,,,,,
Computers & Laptops,Computer Accessories,Drawing Tools,Drawing Display,,14.00%,18.08%,,,,,,,,
Computers & Laptops,Computer Accessories,External DVD Writers,,,14.00%,18.08%,,,,,,,,
Computers & Laptops,Computer Accessories,Fingerprint Reader,,,14.00%,18.08%,,,,,,,,
Computers & Laptops,Computer Accessories,Gadgets,,,14.00%,18.08%,,,,,,,,
Computers & Laptops,Computer Accessories,Keyboards,Gaming,,14.00%,18.08%,,,,,,,,
Computers & Laptops,Computer Accessories,Keyboards,Mice & Keyboard Combos,,14.00%,18.08%,,,,,,,,
Computers & Laptops,Computer Accessories,Keyboards,Basic,,14.00%,18.08%,,,,,,,,
Computers & Laptops,Computer Accessories,Keyboards,Keyboard Accessories,,14.00%,18.08%,,,,,,,,
Computers & Laptops,Computer Accessories,Laptop Batteries,,,14.00%,18.08%,,,,,,,,
Computers & Laptops,Computer Accessories,Laptop stands,,,14.00%,18.08%,,,,,,,,
Computers & Laptops,Computer Accessories,Mac Accessories,Skin & Decal Stickers,,14.00%,18.08%,,,,,,,,
Computers & Laptops,Computer Accessories,Mac Accessories,Hard Covers,,14.00%,18.08%,,,,,,,,
Computers & Laptops,Computer Accessories,Mac Accessories,Screen Filters,,14.00%,18.08%,,,,,,,,
Computers & Laptops,Computer Accessories,Mac Accessories,Power Adapters,,14.00%,18.08%,,,,,,,,
Computers & Laptops,Computer Accessories,Mice,Gaming,,14.00%,18.08%,,,,,,,,
Computers & Laptops,Computer Accessories,Mice,Basic,,14.00%,18.08%,,,,,,,,
Computers & Laptops,Computer Accessories,Monitor Screen Filters,,,14.00%,18.08%,,,,,,,,
Computers & Laptops,Computer Accessories,Monitor Stands,,,14.00%,18.08%,,,,,,,,
Computers & Laptops,Computer Accessories,Monitors,,,14.00%,18.08%,,,,,,,,
Computers & Laptops,Computer Accessories,Mousepads,Gaming,,14.00%,18.08%,,,,,,,,
Computers & Laptops,Computer Accessories,Mousepads,Basic,,14.00%,18.08%,,,,,,,,
Computers & Laptops,Computer Accessories,PC Audio,Gaming Headsets,,14.00%,18.08%,,,,,,,,
Computers & Laptops,Computer Accessories,PC Audio,PC Speaker Systems,,14.00%,18.08%,,,,,,,,
Computers & Laptops,Computer Accessories,PC Audio,PC Soundbars,,14.00%,18.08%,,,,,,,,
Computers & Laptops,Computer Accessories,Power Cord & Adaptors,,,14.00%,18.08%,,,,,,,,
Computers & Laptops,Computer Accessories,Surge Protector,,,14.00%,18.08%,,,,,,,,
Computers & Laptops,Computer Accessories,TV Tuners,,,5.00%,7.91%,,,,,,,,
Computers & Laptops,Computer Accessories,UPS,,,12.83%,16.76%,,,,,,,,
Computers & Laptops,Computer Accessories,USB Fans,,,14.00%,18.08%,,,,,,,,
Computers & Laptops,Computer Accessories,USB Hubs,,,14.00%,18.08%,,,,,,,,
Computers & Laptops,Computer Accessories,USB Lighting,,,14.00%,18.08%,,,,,,,,
Computers & Laptops,Computer Accessories,Webcams,,,14.00%,18.08%,,,,,,,,
Computers & Laptops,Computer Components,Desktop Casings,,,3.49%,6.20%,,,,,,,,
Computers & Laptops,Computer Components,Fans & Heatsinks,Cooling Fans,,3.49%,6.20%,,,,,,,,
Computers & Laptops,Computer Components,Fans & Heatsinks,Heatsinks,,3.49%,6.20%,,,,,,,,
Computers & Laptops,Computer Components,Front Bay Devices,,,3.49%,6.20%,,,,,,,,
Computers & Laptops,Computer Components,Graphic Cards,,,1.50%,3.96%,,,,,,,,
Computers & Laptops,Computer Components,Motherboards,,,1.50%,3.96%,,,,,,,,
Computers & Laptops,Computer Components,Power Supply Units,,,1.50%,3.96%,,,,,,,,
Computers & Laptops,Computer Components,Processors,,,1.50%,3.96%,,,,,,,,
Computers & Laptops,Computer Components,RAM,,,3.49%,6.20%,,,,,,,,
Computers & Laptops,Computer Components,Single Board Computer,,,3.49%,6.20%,,,,,,,,
Computers & Laptops,Computer Components,Sound cards,,,3.49%,6.20%,,,,,,,,
Computers & Laptops,Computer Components,Water Cooling System,,,1.27%,3.70%,,,,,,,,
Computers & Laptops,Desktops Computers,All-In-One,,,3.00%,5.65%,,,,,,,,
Computers & Laptops,Desktops Computers,DIY,,,3.00%,5.65%,,,,,,,,
Computers & Laptops,Desktops Computers,Gaming,,,3.00%,5.65%,,,,,,,,
Computers & Laptops,Laptops,Chromebooks,,,1.78%,4.27%,,,,,,,,
Computers & Laptops,Laptops,Gaming,,,1.78%,4.27%,,,,,,,,
Computers & Laptops,Laptops,Hard Disk,,,1.78%,4.27%,,,,,,,,
Computers & Laptops,Laptops,Macbooks,,,1.78%,4.27%,,,,,,,,
Computers & Laptops,Laptops,Traditional Laptops,,,1.78%,4.27%,,,,,,,,
Computers & Laptops,Monitors,,,,3.30%,5.99%,,,,,,,,
Computers & Laptops,Network Components,Access Points,,,5.00%,7.91%,,,,,,,,
Computers & Laptops,Network Components,Airport Routers,,,9.00%,12.43%,,,,,,,,
Computers & Laptops,Network Components,Mobile Broadband,Mobile Wi-Fi Hotspots,,9.00%,12.43%,,,,,,,,
Computers & Laptops,Network Components,Mobile Broadband,USB Modems,,9.00%,12.43%,,,,,,,,
Computers & Laptops,Network Components,Modems,,,9.00%,12.43%,,,,,,,,
Computers & Laptops,Network Components,Network adaptors,USB network adapters,,9.00%,12.43%,,,,,,,,
Computers & Laptops,Network Components,Network adaptors,Bluetooth network adapters,,9.00%,12.43%,,,,,,,,
Computers & Laptops,Network Components,Network adaptors,Powerline network adapter,,9.00%,12.43%,,,,,,,,
Computers & Laptops,Network Components,Network adaptors,Laptop Network adapters,,9.00%,12.43%,,,,,,,,
Computers & Laptops,Network Components,Network Interface Cards,,,9.00%,12.43%,,,,,,,,
Computers & Laptops,Network Components,Range extender,,,5.00%,7.91%,,,,,,,,
Computers & Laptops,Network Components,Routers,,,5.00%,7.91%,,,,,,,,
Computers & Laptops,Network Components,Switches,,,5.00%,7.91%,,,,,,,,
Computers & Laptops,Network Components,Wireless USB Adapters,,,9.00%,12.43%,,,,,,,,
Computers & Laptops,PC Gaming,PC Games,,,9.00%,12.43%,,,,,,,,
Computers & Laptops,Printers & Accessories,3D Printing,3D Printers,,4.00%,6.78%,,,,,,,,
Computers & Laptops,Printers & Accessories,3D Printing,3D Printing Materials,,4.00%,6.78%,,,,,,,,
Computers & Laptops,Printers & Accessories,3D Printing,3D Printer Parts,,4.00%,6.78%,,,,,,,,
Computers & Laptops,Printers & Accessories,Fax machines,,,4.00%,6.78%,,,,,,,,
Computers & Laptops,Printers & Accessories,Ink,Inkjets Inks,,4.00%,6.78%,,,,,,,,
Computers & Laptops,Printers & Accessories,Ink,Laser Toners,,4.00%,6.78%,,,,,,,,
Computers & Laptops,Printers & Accessories,Printer cutter,,,4.00%,6.78%,,,,,,,,
Computers & Laptops,Printers & Accessories,Printer memory modules,,,4.00%,6.78%,,,,,,,,
Computers & Laptops,Printers & Accessories,Printer stands,,,4.00%,6.78%,,,,,,,,
Computers & Laptops,Printers & Accessories,Printers,Ink Jet,,4.00%,6.78%,,,,,,,,
Computers & Laptops,Printers & Accessories,Printers,Photo,,4.00%,6.78%,,,,,,,,
Computers & Laptops,Printers & Accessories,Printers,Laser Jet,,4.00%,6.78%,,,,,,,,
Computers & Laptops,Printers & Accessories,Printers,Label Printer,,4.00%,6.78%,,,,,,,,
Computers & Laptops,Printers & Accessories,Printers,Business,,4.00%,6.78%,,,,,,,,
Computers & Laptops,Printers & Accessories,Printers,Dot matrix Printer,,4.00%,6.78%,,,,,,,,
Computers & Laptops,Scanners,,,,4.50%,7.35%,,,,,,,,
Computers & Laptops,Software,Educational Media,,,8.41%,11.76%,,,,,,,,
Computers & Laptops,Software,Operating System,,,8.41%,11.76%,,,,,,,,
Computers & Laptops,Software,Productivity,,,8.41%,11.76%,,,,,,,,
Computers & Laptops,Software,Security Software,,,8.41%,11.76%,,,,,,,,
Computers & Laptops,Software,VR Games,,,8.41%,11.76%,,,,,,,,
Computers & Laptops,Storage,External Drives,,,4.20%,7.01%,,,,,,,,
Computers & Laptops,Storage,Flash Drives,,,4.20%,7.01%,,,,,,,,
Computers & Laptops,Storage,Hard Drive Accessories,,,4.20%,7.01%,,,,,,,,
Computers & Laptops,Storage,Internal Drives,,,4.20%,7.01%,,,,,,,,
Computers & Laptops,Storage,Internal Solid State Drives,,,4.20%,7.01%,,,,,,,,
Computers & Laptops,Storage,NAS,,,4.20%,7.01%,,,,,,,,
Computers & Laptops,Storage,OTG Drives,,,4.20%,7.01%,,,,,,,,
Computers & Laptops,Storage,Storage for Mac,,,4.20%,7.01%,,,,,,,,
Digital Goods,Daraz Gift Cards,,,,0.00%,2.26%,,,,,,,,
Digital Goods,ebooks,English eBooks,,,0.00%,2.26%,,,,,,,,
Digital Goods,ebooks,Nepali eBooks,,,0.00%,2.26%,,,,,,,,
Digital Goods,Education,,,,10.00%,13.56%,,,,,,,,
Digital Goods,Financial Services,Insurance,,,0.00%,2.26%,,,,,,,,
Digital Goods,Games Gift Cards & Softwares,Digital Games,Game Codes,,2.67%,5.28%,,,,,,,,
Digital Goods,Games Gift Cards & Softwares,Game Codes,,,2.67%,5.28%,,,,,,,,
Digital Goods,Games Gift Cards & Softwares,Game Keys,,,2.67%,5.28%,,,,,,,,
Digital Goods,Games Gift Cards & Softwares,Gift Cards,,,2.67%,5.28%,,,,,,,,
Digital Goods,Games Gift Cards & Softwares,Software,,,10.00%,13.56%,,,,,,,,
Digital Goods,Home Services,Installation,,,3.49%,6.20%,,,,,,,,
Digital Goods,Home Services,Maintenance,,,0.00%,2.26%,,,,,,,,
